unique_id,ds,y
SKU_01,2020-08-02,16.0
SKU_01,2020-08-03,235.0
SKU_01,2020-08-04,172.0
SKU_01,2020-08-05,111.0
SKU_01,2020-08-06,170.0
SKU_01,2020-08-07,127.0
SKU_01,2020-08-08,15.0
SKU_01,2020-08-09,12.0
SKU_01,2020-08-10,121.0
SKU_01,2020-08-11,137.0
SKU_01,2020-08-12,104.0
SKU_01,2020-08-13,149.0
SKU_01,2020-08-14,86.0
SKU_01,2020-08-15,11.0
SKU_01,2020-08-16,17.0
SKU_01,2020-08-17,83.0
SKU_01,2020-08-18,111.0
SKU_01,2020-08-19,145.0
SKU_01,2020-08-20,178.0
SKU_01,2020-08-21,230.0
SKU_01,2020-08-22,20.0
SKU_01,2020-08-23,17.0
SKU_01,2020-08-24,136.0
SKU_01,2020-08-25,285.0
SKU_01,2020-08-26,127.0
SKU_01,2020-08-27,104.0
SKU_01,2020-08-28,74.0
SKU_01,2020-08-29,22.0
SKU_01,2020-08-30,17.0
SKU_01,2020-08-31,176.0
SKU_01,2020-09-01,138.0
SKU_01,2020-09-02,106.0
SKU_01,2020-09-03,188.0
SKU_01,2020-09-04,126.0
SKU_01,2020-09-05,8.0
SKU_01,2020-09-06,5.0
SKU_01,2020-09-07,6.0
SKU_01,2020-09-08,91.0
SKU_01,2020-09-09,149.0
SKU_01,2020-09-10,125.0
SKU_01,2020-09-11,108.0
SKU_01,2020-09-12,34.0
SKU_01,2020-09-13,14.0
SKU_01,2020-09-14,132.0
SKU_01,2020-09-15,92.0
SKU_01,2020-09-16,178.0
SKU_01,2020-09-17,108.0
SKU_01,2020-09-18,159.0
SKU_01,2020-09-19,39.0
SKU_01,2020-09-20,15.0
SKU_01,2020-09-21,146.0
SKU_01,2020-09-22,170.0
SKU_01,2020-09-23,91.0
SKU_01,2020-09-24,158.0
SKU_01,2020-09-25,137.0
SKU_01,2020-09-26,15.0
SKU_01,2020-09-27,27.0
SKU_01,2020-09-28,147.0
SKU_01,2020-09-29,137.0
SKU_01,2020-09-30,133.0
SKU_01,2020-10-01,260.0
SKU_01,2020-10-02,226.0
SKU_01,2020-10-03,30.0
SKU_01,2020-10-04,10.0
SKU_01,2020-10-05,167.0
SKU_01,2020-10-06,102.0
SKU_01,2020-10-07,168.0
SKU_01,2020-10-08,125.0
SKU_01,2020-10-09,82.0
SKU_01,2020-10-10,0.0
SKU_01,2020-10-11,0.0
SKU_01,2020-10-12,0.0
SKU_01,2020-10-13,14.0
SKU_01,2020-10-14,14.0
SKU_01,2020-10-15,3.0
SKU_01,2020-10-16,1.0
SKU_01,2020-10-17,1.0
SKU_01,2020-10-18,0.0
SKU_01,2020-10-19,21.0
SKU_01,2020-10-20,81.0
SKU_01,2020-10-21,51.0
SKU_01,2020-10-22,30.0
SKU_01,2020-10-23,36.0
SKU_01,2020-10-24,9.0
SKU_01,2020-10-25,4.0
SKU_01,2020-10-26,34.0
SKU_01,2020-10-27,57.0
SKU_01,2020-10-28,118.0
SKU_01,2020-10-29,78.0
SKU_01,2020-10-30,172.0
SKU_01,2020-10-31,7.0
SKU_01,2020-11-01,0.0
SKU_01,2020-11-02,0.0
SKU_01,2020-11-03,4.0
SKU_01,2020-11-04,7.0
SKU_01,2020-11-05,12.0
SKU_01,2020-11-06,0.0
SKU_01,2020-11-07,0.0
SKU_01,2020-11-08,15.0
SKU_01,2020-11-09,57.0
SKU_01,2020-11-10,45.0
SKU_01,2020-11-11,39.0
SKU_01,2020-11-12,56.0
SKU_01,2020-11-13,47.0
SKU_01,2020-11-14,12.0
SKU_01,2020-11-15,9.0
SKU_01,2020-11-16,59.0
SKU_01,2020-11-17,53.0
SKU_01,2020-11-18,87.0
SKU_01,2020-11-19,60.0
SKU_01,2020-11-20,34.0
SKU_01,2020-11-21,32.0
SKU_01,2020-11-22,12.0
SKU_01,2020-11-23,96.0
SKU_01,2020-11-24,122.0
SKU_01,2020-11-25,82.0
SKU_01,2020-11-26,135.0
SKU_01,2020-11-27,145.0
SKU_01,2020-11-28,24.0
SKU_01,2020-11-29,15.0
SKU_01,2020-11-30,99.0
SKU_01,2020-12-01,74.0
SKU_01,2020-12-02,100.0
SKU_01,2020-12-03,66.0
SKU_01,2020-12-04,109.0
SKU_01,2020-12-05,8.0
SKU_01,2020-12-06,15.0
SKU_01,2020-12-07,106.0
SKU_01,2020-12-08,74.0
SKU_01,2020-12-09,69.0
SKU_01,2020-12-10,115.0
SKU_01,2020-12-11,68.0
SKU_01,2020-12-12,3.0
SKU_01,2020-12-13,10.0
SKU_01,2020-12-14,47.0
SKU_01,2020-12-15,29.0
SKU_01,2020-12-16,32.0
SKU_01,2020-12-17,13.0
SKU_01,2020-12-18,81.0
SKU_01,2020-12-19,3.0
